"Effect.Measure.v.descriptive","PMID","First.Author","Published","Year.Published","Include.area","Study.Funding.source.s.","Possible.Conflict.of.interest.for.study.authors","Study.purpose","Study.type","Vaccine.type","Vaccine.strategy","Number.doses.MVA.BN","Subcutaneous.or.intradermal.MVA.BN","Intervention.status","Dates.of.Outbreak","Country.of.outbreak","Population.description","Inclusion.Criteria","Exclusion.Criteria","Total.cohort.size.or.close.contact.pool","Case.report.forms.Complete.information..n.","Total.Cases.in.case.control","Total.control.in.case.control","loss.to.follow.up","Total.number.vaccinated.people","Historic.smallpox","PEP.or...14.days.after.1.dose","..1.dose.MVA.BN.vaccine.or.partially.vaccinated","..2.dose.MVA.BN.vaccine.or.fully.vaccinated","Subcutaneous","Intradermal","heterologous","Total.number.unvaccinated.people","unknown.vaccine.status","Episodes.outbreaks","Total.mpox.Cases","Total.vaccinated.mpox.cases","Total.vaccinated.mpox.historic.1st.gen.cases","Total.vaccinated.mpox.historic.2nd.gen.cases","Total.vaccinated.mpox.PEP.cases","Total.vaccinated.mpox.non.PEP.1.dose.cases","Total.vaccinated.mpox.2.dose","Total.unvaccinated.mpox.cases","Total.vaccinated.mpox.controls","Total.unvaccinated.mpox.controls","Notes.N","Measure..HR..IRR..RR..cumulative.incidence..attack.rate.etc.","..95..CI...67","Effect.measure","Dose","Adjusted","VE.type","Sensitivity","VE.outcome","Lower.CI","Upper.CI","Central.Effect.Estimate.reported","Effect.Est.lower.95.CI","Effect.Est.upper.95.CI","Regression.Coefficient","Regression.Coefficient.lower.95..CI","Regression.Coefficient.upper.95..CI","Vaccinated.secondary.cases","Unvaccinated.secondary.cases","Vaccinated.Contacts","Unvaccinated.Contacts","Vaccinated.or.cases.event","n.vaccinated.or.cases","unvaccinated..or.controls.event","n.unvaccinated.or.controls","unknown.or.missing.event.vaccinated","unknown.or.missing.total.n","Person.days.vaccinated","events.vaccinated","Person.days.unvaccinated","events.unvaccinated","crude.VE","..95..CI...97","Mean.vaccinated","sd.vaccinated","Mean.unvaccinated","sd.unvaccinated","Median.vaccinated","Lower.IQR.vaccinated","Upper.IQR.vaccinated","Median.unvaccinated","Lower.IQR.unvaccinated","Upper.IQR.unvaccinated","Controlled.for","Timing.of.measure","Cohort.Age...median.or.description.","Cohort.IQR.Age.lower","Cohort.IQR.Age.higher","Cohort.age.mean","Cohort.age.sd","Cohort.vaccinated.age.median","Cohort.unvaccinated.age.median","Cohort.unvaccinated.age.IQR","Cohort.unvaccinated.age.mean","Cohort.unvaccinated.age.sd","Cohort.age.unvaccinated..median","Cohort.age.unvaccinated.IQR","Cohort.age.vaccinated..mean","Cohort.age.vaccinated.sd","Monkeypox.cases.Age...median.","Monkeypox.cases.IQR.Age.lower","Monkeypox.cases.IQR.Age.higher","Monkeypox.controls.Age...median.","Monkeypox.controls.IQR.Age.lower","Monkeypox.controls.IQR.Age.higher","Cohort.cis.male.n","vaccinated..Male.n","unvaccinated..Male.n","cohort.MSM.n","vaccinated..MSM.n","unvaccinated.MSM.n","Monkeypox.cases.vaccinated.MSM.n","Monkeypox.cases.unvaccinated.MSM.n","Monkeypox.cases.vaccinated.non.MSM.n","Monkeypox.cases.unvaccinated.non.MSM.n","n.Non.Hispanic.White","Hispanic.Latino.n","Black.n....presumed","n.Known.HIV.status","n.HIV.positive","n.HIV.positive.vaccinated","n.HIV.positive.unvaccinated","n.CD4..200","n.VL...200","n.VL..50","n.PrEP.users","n.PrEP.users.vaccinated","n.PrEP.users.unvaccinated","n.Known.Hospital.status","n.Hospitalized","n.Hospitalized.vaccinated","n.Hospitalized.unvaccinated","n.not.hospitalized.vaccinated","n.not.hospitalized.unvaccinated","Limitations","...682","Internal.notes.for.coding"
"328","37864849","Fontán-Vela","Clinical Infectious Diseases",2023,"Infection","None noted","1 author expert testimony for Moderna and GSK, meetings/travel Pfizer and MSD","estimate reduction of risk of MPXV infection associated with at least 1 dose of MVA-BN pre-exposure in persons receiving HIV-PrEP","retrospective cohort with target trial design","MVA-BN","vaccination prior to exposure","1","subcutaneous  or intradermal ( 3502 or 61.9% intradermal, 1707 or 30.2 subcutaneous, 451 or 7.9% unknown)","linked records","July 12 - Dec 12, 2022","Spain","on HIV-PrEP in Spain","on HIV-PrEP in national database older than 18","started HIV-PrEP before including in NHS (Nov 2019), missing date of mpox infection of >= 3 doses of MVA-BN","10449",10449,5660,NA,NA,5660,NA,NA,NA,NA,NA,NA,NA,5660,NA,"1","43","18",NA,NA,NA,NA,NA,"25",18,25,"5660 (3,899 unique individual)","IRR",95,"VE","1","Y","MVA-BN 1 dose 0-6 days since vaccination Poisson adjusted week, age, region","Y","-0.3","-1.38","0.28999999999999998","1.3","0.71","2.38",NA,NA,NA,NA,NA,NA,NA,9,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-29 17.4%, 30-39 46.2%, 40-49 27.3%, >=50 9.1%",NA,NA,NA,NA,"18-29 17.7%, 30-39 46.4%, 40-49 27.5%, >=50 9.1%",NA,NA,NA,NA,"18-29 17.7%, 30-39 46.1%, 40-49 27.1%, >=50 9.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","37864849","Fontán-Vela","Clinical Infectious Diseases",2023,"Infection","None noted","1 author expert testimony for Moderna and GSK, meetings/travel Pfizer and MSD","estimate reduction of risk of MPXV infection associated with at least 1 dose of MVA-BN pre-exposure in persons receiving HIV-PrEP","retrospective cohort with target trial design","MVA-BN","vaccination prior to exposure","1","subcutaneous  or intradermal ( 3502 or 61.9% intradermal, 1707 or 30.2 subcutaneous, 451 or 7.9% unknown)","linked records","July 12 - Dec 12, 2022","Spain","on HIV-PrEP prophylaxis in Spain","on HIV-PrEP in national database older than 18","started HIV-PrEP before including in NHS (Nov 2019), missing date of mpox infection of >= 3 doses of MVA-BN","10449",10449,5660,NA,NA,5660,NA,NA,NA,NA,NA,NA,NA,5660,NA,"1","43","18",NA,NA,NA,NA,NA,"25",18,25,"5660 (3,899 unique individual)","IRR",95,"VE","1","Y","MVA-BN 1 dose 0-13 days since vaccination Poisson adjusted week, age, region","Y","0.06","-0.59","0.45","0.94","0.55000000000000004","1.59",NA,NA,NA,NA,NA,NA,NA,12,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-29 17.4%, 30-39 46.2%, 40-49 27.3%, >=50 9.1%",NA,NA,NA,NA,"18-29 17.7%, 30-39 46.4%, 40-49 27.5%, >=50 9.1%",NA,NA,NA,NA,"18-29 17.7%, 30-39 46.1%, 40-49 27.1%, >=50 9.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","37864849","Fontán-Vela","Clinical Infectious Diseases",2023,"Infection","None noted","1 author expert testimony for Moderna and GSK, meetings/travel Pfizer and MSD","estimate reduction of risk of MPXV infection associated with at least 1 dose of MVA-BN pre-exposure in persons receiving HIV-PrEP","retrospective cohort with target trial design","MVA-BN","vaccination prior to exposure","1","subcutaneous  or intradermal ( 3502 or 61.9% intradermal, 1707 or 30.2 subcutaneous, 451 or 7.9% unknown)","linked records","July 12 - Dec 12, 2022","Spain","on HIV-PrEP in Spain","on HIV-PrEP in national database older than 18","started HIV-PrEP before including in NHS (Nov 2019), missing date of mpox infection of >= 3 doses of MVA-BN","10449",10449,5660,NA,NA,5660,NA,NA,NA,NA,NA,NA,NA,5660,NA,"1","43","18",NA,NA,NA,NA,NA,"25",18,25,"5660 (3,899 unique individual)","IRR",95,"VE","1","Y","MVA-BN 1 dose >= 7 days since vaccination Poisson adjusted week, age, region","Y","0.68","0.35","0.84","0.32","0.16","0.65",NA,NA,NA,NA,NA,NA,NA,5,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-29 17.4%, 30-39 46.2%, 40-49 27.3%, >=50 9.1%",NA,NA,NA,NA,"18-29 17.7%, 30-39 46.4%, 40-49 27.5%, >=50 9.1%",NA,NA,NA,NA,"18-29 17.7%, 30-39 46.1%, 40-49 27.1%, >=50 9.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","37864849","Fontán-Vela","Clinical Infectious Diseases",2023,"Infection","None noted","1 author expert testimony for Moderna and GSK, meetings/travel Pfizer and MSD","estimate reduction of risk of MPXV infection associated with at least 1 dose of MVA-BN pre-exposure in persons receiving HIV-PrEP","retrospective cohort with target trial design","MVA-BN","vaccination prior to exposure","1","subcutaneous  or intradermal ( 3502 or 61.9% intradermal, 1707 or 30.2 subcutaneous, 451 or 7.9% unknown)","linked records","July 12 - Dec 12, 2022","Spain","on HIV-PrEP prophylaxis in Spain","on HIV-PrEP in national database older than 18","started HIV-PrEP before including in NHS (Nov 2019), missing date of mpox infection of >= 3 doses of MVA-BN","10449",10449,5660,NA,NA,5660,NA,NA,NA,NA,NA,NA,NA,5660,NA,"1","43","18",NA,NA,NA,NA,NA,"25",18,25,"5660 (3,899 unique individual)","IRR",95,"VE","1","Y","MVA-BN 1 dose >= 14 days since vaccination Poisson adjusted week, age, region","Y","0.76","0.39","0.9","0.24","0.1","0.61",NA,NA,NA,NA,NA,NA,NA,2,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-29 17.4%, 30-39 46.2%, 40-49 27.3%, >=50 9.1%",NA,NA,NA,NA,"18-29 17.7%, 30-39 46.4%, 40-49 27.5%, >=50 9.1%",NA,NA,NA,NA,"18-29 17.7%, 30-39 46.1%, 40-49 27.1%, >=50 9.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","37590262","Eustaquio","MMWR",2023,"Severity","None noted","None","describe age-group specific epidemiologic characteristics and outcomes in adults aged >50 yo by recent MVA-BN in the US","retrospective cohort","MVA-BN","not stated",">=1","Subcutaneous or intradermal","NHDSS or standardized case report form","May 10, 2022 - May 17 ,2023","USA","risk for mpox in US 2022 outbreak","confirmed or probable mpox cases persons >= 18",NA,"29984",29984,29984,NA,NA,2763,NA,NA,NA,NA,NA,NA,NA,9915,NA,"1","1020","282",NA,NA,NA,NA,NA,"738",NA,NA,"( 2,481 18-50, 282 >50, 15,417 missing 18-50, 1,889 missing >50) total vaccinated,  ( 9,177 18-50, 738 >50) total unvaccinated, 1020 cases included in final analysis","OR",95,"VE",">=1","N","MVA-BN HIV status >50 years old","N","0.18999999999999995","-0.19999999999999996","0.48","0.81","0.52","1.25",NA,NA,NA,NA,NA,NA,NA,60,97,"492",737,81,2075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,909 (9.7%) were >50, 27,075 18-50 yo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25,681 cis men 18-50, 2,794 cis men > 50",NA,NA,"12,561 18050, 1,393 >50 yo, 419 cis men and other 18-50 yo, 32 >50 cis and other",NA,NA,NA,NA,NA,NA,"7,085 18-50 yo, 1,297 >50","7,878 age 18-50, 758 >50","8,733 18-50, 561 >50",NA,"4,798 18-50 positive, 522 >50 positive; 3,860 18-50 negative, 282 >50 negative, 18,417 18-50 unknown, 2,075 >50 unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","37590262","Eustaquio","MMWR",2023,"Severity","None noted","None","describe age-group specific epidemiologic characteristics and outcomes in adults aged >50 yo by recent MVA-BN in the US","retrospective cohort","MVA-BN","not stated",">=1","Subcutaneous or intradermal","NHDSS or standardized case report form","May 10, 2022 - May 17 ,2023","USA","risk for mpox in US 2022 outbreak","confirmed or probable mpox cases persons >= 18",NA,"29984",29984,29984,NA,NA,2763,NA,NA,NA,NA,NA,NA,NA,9915,NA,"1","1020","282",NA,NA,NA,NA,NA,"738",NA,NA,"( 2,481 18-50, 282 >50, 15,417 missing 18-50, 1,889 missing >50) total vaccinated,  ( 9,177 18-50, 738 >50) total unvaccinated, 1020 cases included in final analysis","OR",95,"VE",">=1","N","MVA-BN Immune compromising other than HIV/AIDS","N","0.77","0.58000000000000007","0.87","0.23","0.13","0.42",NA,NA,NA,NA,NA,NA,NA,13,87,"172",1143,91,1679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,909 (9.7%) were >50, 27,075 18-50 yo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25,681 cis men 18-50, 2,794 cis men > 50",NA,NA,"12,561 18050, 1,393 >50 yo, 419 cis men and other 18-50 yo, 32 >50 cis and other",NA,NA,NA,NA,NA,NA,"7,085 18-50 yo, 1,297 >50","7,878 age 18-50, 758 >50","8,733 18-50, 561 >50",NA,"4,798 18-50 positive, 522 >50 positive; 3,860 18-50 negative, 282 >50 negative, 18,417 18-50 unknown, 2,075 >50 unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","37590262","Eustaquio","MMWR",2023,"Severity","None noted","None","describe age-group specific epidemiologic characteristics and outcomes in adults aged >50 yo by recent MVA-BN in the US","retrospective cohort","MVA-BN","not stated",">=1","Subcutaneous or intradermal","NHDSS or standardized case report form","May 10, 2022 - May 17 ,2023","USA","risk for mpox in US 2022 outbreak","confirmed or probable mpox cases persons >= 18",NA,"29984",29984,29984,NA,NA,2763,NA,NA,NA,NA,NA,NA,NA,9915,NA,"1","1020","282",NA,NA,NA,NA,NA,"738",NA,NA,"( 2,481 18-50, 282 >50, 15,417 missing 18-50, 1,889 missing >50) total vaccinated,  ( 9,177 18-50, 738 >50) total unvaccinated, 1020 cases included in final analysis","OR",95,"VE",">=1","N","MVA-BN constitutional symptoms (fever, headaches, malaise, myalgia, chills, or lymphadenopathy)","N","0.58000000000000007","0.36","0.72","0.42","0.28000000000000003","0.64",NA,NA,NA,NA,NA,NA,NA,74,114,"1320",1623,64,1172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,909 (9.7%) were >50, 27,075 18-50 yo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25,681 cis men 18-50, 2,794 cis men > 50",NA,NA,"12,561 18050, 1,393 >50 yo, 419 cis men and other 18-50 yo, 32 >50 cis and other",NA,NA,NA,NA,NA,NA,"7,085 18-50 yo, 1,297 >50","7,878 age 18-50, 758 >50","8,733 18-50, 561 >50",NA,"4,798 18-50 positive, 522 >50 positive; 3,860 18-50 negative, 282 >50 negative, 18,417 18-50 unknown, 2,075 >50 unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","37590262","Eustaquio","MMWR",2023,"Severity","None noted","None","describe age-group specific epidemiologic characteristics and outcomes in adults aged >50 yo by recent MVA-BN in the US","retrospective cohort","MVA-BN","not stated",">=1","Subcutaneous or intradermal","NHDSS or standardized case report form","May 10, 2022 - May 17 ,2023","USA","risk for mpox in US 2022 outbreak","confirmed or probable mpox cases persons >= 18",NA,"29984",29984,29984,NA,NA,2763,NA,NA,NA,NA,NA,NA,NA,9915,NA,"1","1020","282",NA,NA,NA,NA,NA,"738",NA,NA,"( 2,481 18-50, 282 >50, 15,417 missing 18-50, 1,889 missing >50) total vaccinated,  ( 9,177 18-50, 738 >50) total unvaccinated, 1020 cases included in final analysis","OR",95,"VE",">=1","N","MVA-BN Rash","N","0.64","0.21999999999999997","0.83","0.36","0.17","0.78",NA,NA,NA,NA,NA,NA,NA,123,131,"1928",1973,47,2075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,909 (9.7%) were >50, 27,075 18-50 yo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25,681 cis men 18-50, 2,794 cis men > 50",NA,NA,"12,561 18050, 1,393 >50 yo, 419 cis men and other 18-50 yo, 32 >50 cis and other",NA,NA,NA,NA,NA,NA,"7,085 18-50 yo, 1,297 >50","7,878 age 18-50, 758 >50","8,733 18-50, 561 >50",NA,"4,798 18-50 positive, 522 >50 positive; 3,860 18-50 negative, 282 >50 negative, 18,417 18-50 unknown, 2,075 >50 unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","37590262","Eustaquio","MMWR",2023,"Severity","None noted","None","describe age-group specific epidemiologic characteristics and outcomes in adults aged >50 yo by recent MVA-BN in the US","retrospective cohort","MVA-BN","not stated",">=1","Subcutaneous or intradermal","NHDSS or standardized case report form","May 10, 2022 - May 17 ,2023","USA","risk for mpox in US 2022 outbreak","confirmed or probable mpox cases persons >= 18",NA,"29984",29984,29984,NA,NA,2763,NA,NA,NA,NA,NA,NA,NA,9915,NA,"1","1020","282",NA,NA,NA,NA,NA,"738",NA,NA,"( 2,481 18-50, 282 >50, 15,417 missing 18-50, 1,889 missing >50) total vaccinated,  ( 9,177 18-50, 738 >50) total unvaccinated, 1020 cases included in final analysis","OR",95,"VE",">=1","N","MVA-BN Pruritus","N","0.4","7.999999999999996E-2","0.61","0.6","0.39","0.92",NA,NA,NA,NA,NA,NA,NA,41,93,"489",860,85,2075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,909 (9.7%) were >50, 27,075 18-50 yo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25,681 cis men 18-50, 2,794 cis men > 50",NA,NA,"12,561 18050, 1,393 >50 yo, 419 cis men and other 18-50 yo, 32 >50 cis and other",NA,NA,NA,NA,NA,NA,"7,085 18-50 yo, 1,297 >50","7,878 age 18-50, 758 >50","8,733 18-50, 561 >50",NA,"4,798 18-50 positive, 522 >50 positive; 3,860 18-50 negative, 282 >50 negative, 18,417 18-50 unknown, 2,075 >50 unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","37590262","Eustaquio","MMWR",2023,"Severity","None noted","None","describe age-group specific epidemiologic characteristics and outcomes in adults aged >50 yo by recent MVA-BN in the US","retrospective cohort","MVA-BN","not stated",">=1","Subcutaneous or intradermal","NHDSS or standardized case report form","May 10, 2022 - May 17 ,2023","USA","risk for mpox in US 2022 outbreak","confirmed or probable mpox cases persons >= 18",NA,"29984",29984,29984,NA,NA,2763,NA,NA,NA,NA,NA,NA,NA,9915,NA,"1","1020","282",NA,NA,NA,NA,NA,"738",NA,NA,"( 2,481 18-50, 282 >50, 15,417 missing 18-50, 1,889 missing >50) total vaccinated,  ( 9,177 18-50, 738 >50) total unvaccinated, 1020 cases included in final analysis","OR",95,"VE",">=1","N","MVA-BN Rectal symptoms or abdominal pain  (including bleeding, pus, proctitis, tenesmus)","N","-0.24242424242424243","-0.5","0.12","1.32","0.88","2",NA,NA,NA,NA,NA,NA,NA,43,100,"451",1242,28,2075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,909 (9.7%) were >50, 27,075 18-50 yo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25,681 cis men 18-50, 2,794 cis men > 50",NA,NA,"12,561 18050, 1,393 >50 yo, 419 cis men and other 18-50 yo, 32 >50 cis and other",NA,NA,NA,NA,NA,NA,"7,085 18-50 yo, 1,297 >50","7,878 age 18-50, 758 >50","8,733 18-50, 561 >50",NA,"4,798 18-50 positive, 522 >50 positive; 3,860 18-50 negative, 282 >50 negative, 18,417 18-50 unknown, 2,075 >50 unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","37590262","Eustaquio","MMWR",2023,"Severity","None noted","None","describe age-group specific epidemiologic characteristics and outcomes in adults aged >50 yo by recent MVA-BN in the US","retrospective cohort","MVA-BN","not stated",">=1","Subcutaneous or intradermal","NHDSS or standardized case report form","May 10, 2022 - May 17 ,2023","USA","risk for mpox in US 2022 outbreak","confirmed or probable mpox cases persons >= 18",NA,"29984",29984,29984,NA,NA,2763,NA,NA,NA,NA,NA,NA,NA,9915,NA,"1","1020","282",NA,NA,NA,NA,NA,"738",NA,NA,"( 2,481 18-50, 282 >50, 15,417 missing 18-50, 1,889 missing >50) total vaccinated,  ( 9,177 18-50, 738 >50) total unvaccinated, 1020 cases included in final analysis","OR",95,"VE",">=1","N","MVA-BN hospitalized","N","0.86","0.41000000000000003","0.96","0.14000000000000001","0.04","0.59",NA,NA,NA,NA,NA,NA,NA,2,162,"163",2044,16,2075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,909 (9.7%) were >50, 27,075 18-50 yo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25,681 cis men 18-50, 2,794 cis men > 50",NA,NA,"12,561 18050, 1,393 >50 yo, 419 cis men and other 18-50 yo, 32 >50 cis and other",NA,NA,NA,NA,NA,NA,"7,085 18-50 yo, 1,297 >50","7,878 age 18-50, 758 >50","8,733 18-50, 561 >50",NA,"4,798 18-50 positive, 522 >50 positive; 3,860 18-50 negative, 282 >50 negative, 18,417 18-50 unknown, 2,075 >50 unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","37590262","Eustaquio","MMWR",2023,"Severity","None noted","None","describe age-group specific epidemiologic characteristics and outcomes in adults aged >50 yo by recent MVA-BN in the US","retrospective cohort","MVA-BN","not stated",">=1","Subcutaneous or intradermal","NHDSS or standardized case report form","May 10, 2022 - May 17 ,2023","USA","risk for mpox in US 2022 outbreak","confirmed or probable mpox cases persons >= 18",NA,"29984",29984,29984,NA,NA,2763,NA,NA,NA,NA,NA,NA,NA,9915,NA,"1","1020","282",NA,NA,NA,NA,NA,"738",NA,NA,"( 2,481 18-50, 282 >50, 15,417 missing 18-50, 1,889 missing >50) total vaccinated,  ( 9,177 18-50, 738 >50) total unvaccinated, 1020 cases included in final analysis","OR",95,"VE",">=1","N","MVA-BN death","N","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,0,100,"5",1647,78,2075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,909 (9.7%) were >50, 27,075 18-50 yo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25,681 cis men 18-50, 2,794 cis men > 50",NA,NA,"12,561 18050, 1,393 >50 yo, 419 cis men and other 18-50 yo, 32 >50 cis and other",NA,NA,NA,NA,NA,NA,"7,085 18-50 yo, 1,297 >50","7,878 age 18-50, 758 >50","8,733 18-50, 561 >50",NA,"4,798 18-50 positive, 522 >50 positive; 3,860 18-50 negative, 282 >50 negative, 18,417 18-50 unknown, 2,075 >50 unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","37942460","Ramchandani","OFID",2023,"Infection","All of the National Institutes of Health","unrelated support from Hologic, consultant Roche, honoraria Providence Health, IDSA, Nabriva","determine vaccine effectiveness of MVA-BN","retrospective cohort","MVA-BN","nt Pre-exposure vaccination","1 or 2","subcutaneous  or intradermal","Secure medical record matched to Washington State Immunization Information System (WAIIS)","May 1 - Dec 21, 2022","USA","attend sexual health clinic in Seattle","Public Health-Seattle and King County patients  (PHSKC) patients who resided in King County and had 1 clinic visit between 1 Jan 2020 and 31 Dec 2022, assigned male at birth and reported sex with men","none noted","4230",4230,204,NA,NA,1837,NA,NA,686,1152,NA,NA,NA,2393,NA,"1","203","13",NA,NA,NA,11,2,"191",NA,NA,"685 1 dose (216 subQ, 469 ID), 1152 2 doses (36 subcutaneous, 434 ID, 682 heterologous) for mpox cases,  (11 1 dose (4 subQ, 7 ID,","HR",95,"VE","1","Y","1 dose MVA-BN","N","0.81","0.64","0.9","0.19","0.1","0.36",NA,NA,NA,NA,NA,NA,NA,11,685,"191",2393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4230",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2569","768","451","3715","630 (515 unknown)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","37942460","Ramchandani","OFID",2023,"Infection","All of the National Institutes of Health","unrelated support from Hologic, consultant Roche, honoraria Providence Health, IDSA, Nabriva","determine vaccine effectiveness of MVA-BN","retrospective cohort","MVA-BN","Pre-exposure vaccination","1 or 2","subcutaneous  or intradermal","Secure medical record matched to Washington State Immunization Information System (WAIIS)","May 1 - Dec 21, 2022","USA","attend sexual health clinic in Seattle","Public Health-Seattle and King County patients  (PHSKC) patients who resided in King County and had 1 clinic visit between 1 Jan 2020 and 31 Dec 2022, assigned male at birth and reported sex with men","none noted","4230",4230,204,NA,NA,1837,NA,NA,686,1152,NA,NA,NA,2393,NA,"1","203","13",NA,NA,NA,11,2,"191",NA,NA,"685 1 dose (216 subQ, 469 ID), 1152 2 doses (36 subcutaneous, 434 ID, 682 heterologous) for mpox cases,  (11 1 dose (4 subQ, 7 ID,","HR",95,"VE","1","Y","2 dose MVA-BN","N","0.83","0.28000000000000003","0.96","0.17","0.04","0.72",NA,NA,NA,NA,NA,NA,NA,2,1152,"191",2393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4230",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2569","768","451","3715","631 (515 unknown)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
